,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,Gorom-Gorom,14.4439,-0.2361,90.55,26,66,9.75,BF,1620171762
66,Lucea,18.451,-78.1736,84.2,65,40,11.5,JM,1620171762
67,Port Alfred,-33.5906,26.891,66.49,67,37,3.98,ZA,1620171275
68,Albany,42.6001,-73.9662,59.0,77,90,5.75,US,1620171001
69,Zuénoula,7.4292,-6.0431,73.63,92,98,3.42,CI,1620171763
70,Bethel,41.3712,-73.414,62.6,72,75,9.22,US,1620171292
71,Dikson,73.5069,80.5464,21.65,95,100,9.33,RU,1620171301
72,Fortuna,40.5982,-124.1573,63.0,88,20,13.8,US,1620171342
73,Saint-Joseph,-21.3667,55.6167,75.2,94,75,3.44,RE,1620171763
74,Senador Guiomard,-10.1522,-67.7392,78.8,94,0,2.84,BR,1620171764
75,Ugoofaaru,5.6667,73.0,83.79,70,21,0.63,MV,1620171764
76,Washougal,45.5826,-122.3534,68.0,37,1,5.75,US,1620171764
77,Jati,24.3539,68.2671,81.16,72,0,15.61,PK,1620171764
78,Geraldton,-28.7667,114.6,62.6,94,75,9.22,AU,1620171090
79,Ponta Delgada,37.7333,-25.6667,59.0,88,20,3.44,PT,1620171765
80,Kargasok,59.0556,80.8572,42.57,79,100,11.65,RU,1620171765
81,Cayenne,4.9333,-52.3333,79.0,89,75,2.3,GF,1620171765
82,General Roca,-39.0333,-67.5833,50.0,57,0,3.44,AR,1620171765
83,Nikolskoye,59.7035,30.7861,36.0,93,90,6.71,RU,1620171292
84,Bahía Honda,22.9036,-83.1592,82.36,68,5,9.44,CU,1620171766
85,Cherskiy,68.75,161.3,30.65,70,26,12.28,RU,1620171337
86,Doha,25.2867,51.5333,82.4,61,0,5.75,QA,1620171651
87,Ola,59.5833,151.2833,33.22,69,22,4.07,RU,1620171766
88,Namatanai,-3.6667,152.4333,85.35,67,28,2.62,PG,1620171766
89,Moshupa,-24.7782,25.4155,56.08,45,0,2.06,BW,1620171767
90,Mocuba,-16.8392,36.9856,61.25,97,16,2.98,MZ,1620171767
91,Omboué,-1.5746,9.2618,77.32,88,100,4.63,GA,1620171767
92,Cabedelo,-6.9811,-34.8339,73.4,100,75,4.9,BR,1620171768
93,Port Blair,11.6667,92.75,83.71,74,88,2.35,IN,1620171768
94,Ondjiva,-17.0667,15.7333,66.56,57,56,3.09,AO,1620171768
95,Salalah,17.0151,54.0924,84.2,79,20,4.61,OM,1620171768
96,Provideniya,64.3833,-173.3,30.2,69,0,2.24,RU,1620171307
97,Progreso,21.2833,-89.6667,100.4,32,40,16.11,MX,1620171769
98,Kaitangata,-46.2817,169.8464,60.01,52,21,3.0,NZ,1620171141
99,Lamu,-2.2717,40.902,78.46,87,97,14.12,KE,1620171769
100,Akdepe,42.0551,59.3788,69.8,49,0,9.22,TM,1620171769
101,Port Montt,-41.4698,-72.9447,44.6,87,0,6.91,CL,1620171770
102,Centralina,-18.5839,-49.1994,70.09,39,5,1.99,BR,1620171770
103,Boma,7.0805,-2.1697,72.66,97,99,1.48,GH,1620171770
104,Hearst,49.6835,-83.6665,37.4,93,100,4.61,CA,1620171770
105,Chokurdakh,70.6333,147.9167,31.3,97,100,5.1,RU,1620171105
106,Cabo San Lucas,22.8909,-109.9124,82.0,41,1,10.36,MX,1620171002
107,Cockburn Town,21.4612,-71.1419,78.37,80,80,20.07,TC,1620171771
108,Weiser,44.251,-116.9693,75.2,19,1,14.97,US,1620171771
109,Khovd,48.0056,91.6419,44.35,38,68,7.11,MN,1620171328
110,Arraial do Cabo,-22.9661,-42.0278,69.8,85,0,4.61,BR,1620170995
111,Lima,-12.0432,-77.0282,66.2,82,75,16.11,PE,1620171546
112,Ribeira Grande,38.5167,-28.7,63.16,89,100,7.92,PT,1620171281
113,Chamba,32.5667,76.1333,68.16,63,100,7.7,IN,1620171772
114,Klaksvík,62.2266,-6.589,35.6,80,20,23.02,FO,1620171351
115,Estevan,49.1334,-102.9842,57.2,19,40,3.44,CA,1620171772
116,Qaanaaq,77.484,-69.3632,25.9,78,83,4.5,GL,1620170994
117,Tuktoyaktuk,69.4541,-133.0374,23.0,86,90,8.05,CA,1620171297
118,Saint Paul Harbor,57.79,-152.4072,44.6,61,75,16.11,US,1620171316
119,Kontagora,10.3999,5.4695,79.25,63,92,8.16,NG,1620171773
120,Pevek,69.7008,170.3133,30.11,67,86,16.11,RU,1620171274
121,Grand-Santi,4.25,-54.3833,72.59,98,38,1.77,GF,1620171773
122,Assiniboia,49.6334,-105.9845,53.6,37,98,11.5,CA,1620171773
123,Ürümqi,43.801,87.6005,57.2,33,0,8.95,CN,1620171617
124,Avarua,-21.2078,-159.775,80.6,74,75,11.5,CK,1620171329
125,Hermanus,-34.4187,19.2345,64.0,87,5,5.99,ZA,1620170984
126,Taltal,-25.4,-70.4833,65.08,67,0,4.7,CL,1620171774
127,Ghanzi,-21.5667,21.7833,56.71,49,0,5.77,BW,1620171774
128,Esperance,-33.8667,121.9,59.0,94,90,16.11,AU,1620171398
129,New Norfolk,-42.7826,147.0587,60.01,82,24,3.47,AU,1620171276
130,George Town,5.4112,100.3354,79.0,94,20,4.65,MY,1620171018
131,Saint George,37.1041,-113.5841,84.99,11,1,9.22,US,1620171022
132,Shimoda,34.6667,138.95,69.01,82,75,18.41,JP,1620171775
133,Coquimbo,-29.9533,-71.3436,62.6,72,20,4.61,CL,1620171196
134,Pamanukan,-6.2842,107.8106,78.69,83,90,3.65,ID,1620171775
135,Slave Lake,55.2834,-114.769,50.0,57,90,9.22,CA,1620171775
136,Vanimo,-2.6741,141.3028,84.4,70,32,3.94,PG,1620171399
137,Labuan,5.2767,115.2417,84.2,70,20,6.91,MY,1620171775
138,Pankovka,58.5,31.1999,34.75,95,100,5.28,RU,1620171776
139,Palkino,57.5409,28.0126,28.4,100,0,5.48,RU,1620171776
140,Saint-Philippe,-21.3585,55.7679,75.2,94,75,6.91,RE,1620171309
141,Port-Cartier,50.0334,-66.8654,46.4,53,75,6.91,CA,1620171776
142,Chapais,49.7834,-74.8492,51.8,40,90,8.05,CA,1620171777
143,Northam,51.0333,-4.2167,46.0,74,59,13.0,GB,1620171777
144,Port Elizabeth,-33.918,25.5701,66.2,88,0,13.8,ZA,1620171106
145,Fuerte Olimpo,-21.0415,-57.8738,82.58,51,71,3.91,PY,1620171778
146,Barrow,71.2906,-156.7887,17.6,73,90,4.61,US,1620171279
147,Churapcha,62.0025,132.4325,43.75,74,100,10.49,RU,1620171778
148,Sisimiut,66.9395,-53.6735,34.2,82,35,8.08,GL,1620171349
149,Souillac,-20.5167,57.5167,75.2,100,40,3.44,MU,1620171778
150,Yellowknife,62.456,-114.3525,41.0,33,20,10.36,CA,1620171263
151,Chui,-33.6971,-53.4616,58.6,58,100,11.74,UY,1620171023
152,Pangnirtung,66.1451,-65.7125,32.0,86,1,11.5,CA,1620171303
153,Clyde River,70.4692,-68.5914,28.4,80,20,18.41,CA,1620171008
154,Olinda,-8.0089,-34.8553,73.4,88,75,3.27,BR,1620171779
155,Hilo,19.7297,-155.09,84.2,54,20,11.5,US,1620171779
156,Henties Bay,-22.116,14.2845,65.03,78,5,4.14,NA,1620171318
157,Genhe,50.7833,121.5167,36.34,95,100,3.2,CN,1620171779
158,Lorengau,-2.0226,147.2712,84.63,65,36,2.51,PG,1620171324
159,Hualmay,-11.0964,-77.6139,67.57,84,33,12.5,PE,1620171344
160,Saint-Pierre,-21.3393,55.4781,75.2,94,75,6.91,RE,1620171599
161,Banda Aceh,5.5577,95.3222,80.53,77,98,5.21,ID,1620171395
162,Mahon,39.8885,4.2658,53.6,94,20,5.75,ES,1620171780
163,Hasaki,35.7333,140.8333,69.01,68,75,13.8,JP,1620171349
164,Marsala,37.7966,12.4352,60.8,94,20,10.36,IT,1620171780
165,Mwinilunga,-11.7358,24.4293,63.86,78,95,3.78,ZM,1620171780
166,Tamandaré,-8.7597,-35.1047,76.32,83,34,3.22,BR,1620171781
167,Codrington,-38.2667,141.9667,58.17,71,62,8.41,AU,1620171395
168,Halifax,44.6453,-63.5724,48.99,71,90,6.04,CA,1620171781
169,Caniço,32.6333,-16.85,62.6,55,75,9.22,PT,1620171782
170,San Jerónimo,-11.9472,-75.2829,52.11,77,94,6.17,PE,1620171782
171,Ponta do Sol,32.6667,-17.1,57.99,55,2,5.99,PT,1620171046
172,Plön,54.1667,10.4167,44.01,100,90,16.11,DE,1620171782
173,Padang,-0.9492,100.3543,75.2,94,40,3.44,ID,1620171078
174,Lompoc,34.6391,-120.4579,73.0,56,7,12.66,US,1620171103
175,Lüderitz,-26.6481,15.1594,63.23,79,35,10.29,NA,1620171133
176,Yuli,9.6989,10.2744,81.21,61,35,8.21,NG,1620171783
177,Honningsvåg,70.9821,25.9704,33.8,64,75,10.36,NO,1620171392
178,Mariehamn,60.0973,19.9348,41.0,60,0,8.05,AX,1620171783
179,Hamilton,39.1834,-84.5333,63.0,88,90,16.11,US,1620171231
180,Baculin,7.4525,126.5842,82.58,77,88,6.26,PH,1620171783
181,Syracuse,37.0881,15.2792,63.0,82,0,10.36,IT,1620171784
182,Okha,53.5739,142.9478,33.66,67,44,11.14,RU,1620171784
183,Nhulunbuy,-12.2333,136.7667,82.4,65,12,14.97,AU,1620171784
184,Ngunguru,-35.6167,174.5,60.46,63,25,2.53,NZ,1620171784
185,Harrisonburg,38.4496,-78.8689,73.4,68,1,5.44,US,1620171546
186,Bambanglipuro,-7.95,110.2833,78.85,81,53,3.06,ID,1620171785
187,Bredasdorp,-34.5322,20.0403,60.8,88,49,4.61,ZA,1620171327
188,Longyearbyen,78.2186,15.6401,26.6,86,75,4.32,SJ,1620171047
189,Dhidhdhoo,6.8833,73.1,84.51,71,100,4.21,MV,1620171345
190,Cuamba,-14.8031,36.5372,57.85,97,14,3.62,MZ,1620171786
191,Oktyabr'skoye,43.0645,44.7417,46.4,81,100,2.24,RU,1620171787
192,Stokmarknes,68.5646,14.9108,39.2,56,75,8.05,NO,1620171787
193,Saryozek,44.3583,77.9753,59.97,23,11,11.03,KZ,1620171787
194,Bathsheba,13.2167,-59.5167,78.8,65,20,18.41,BB,1620171114
195,Kimbe,-5.5502,150.1429,86.41,67,70,1.81,PG,1620171788
196,Katsuura,35.1333,140.3,69.8,73,75,17.27,JP,1620171298
197,Humaitá,-7.5061,-63.0208,74.23,96,63,0.96,BR,1620171789
198,Bengkulu,-3.8004,102.2655,76.37,91,92,5.95,ID,1620171283
199,Calvià,39.5657,2.5062,57.0,87,20,3.74,ES,1620171564
200,Adrar,20.5022,-10.0711,81.18,27,57,12.06,MR,1620171189
201,Oranjemund,-28.55,16.4333,59.5,91,72,1.45,NA,1620171789
202,Maltahöhe,-24.8333,16.9833,65.91,39,67,4.05,NA,1620171790
203,Ahipara,-35.1667,173.1667,64.35,49,42,1.16,NZ,1620171010
204,Baykit,61.67,96.37,29.59,84,100,13.91,RU,1620171397
205,Shingū,33.7333,135.9833,64.4,88,75,18.41,JP,1620171276
206,Charters Towers,-20.1,146.2667,78.06,43,27,1.92,AU,1620171335
207,Wenling,28.3669,121.36,69.01,76,100,10.65,CN,1620171790
208,Gobabis,-22.45,18.9667,56.64,44,0,10.38,NA,1620171790
209,Tasiilaq,65.6145,-37.6368,26.6,86,2,5.75,GL,1620171274
210,Ludza,56.55,27.7167,36.43,94,99,5.95,LV,1620171791
211,Palmer,42.1584,-72.3287,59.0,67,75,5.75,US,1620171375
212,Chifeng,42.2683,118.9636,53.38,15,21,19.84,CN,1620171791
213,College,64.8569,-147.8028,60.8,29,75,4.61,US,1620171343
214,Porto Santo,33.072,-16.3415,62.6,55,75,14.97,PT,1620171792
215,Flin Flon,54.7682,-101.865,44.6,33,75,5.75,CA,1620171347
216,Río Gallegos,-51.6226,-69.2181,46.4,57,0,26.46,AR,1620171318
217,Kansanshi,-12.0951,26.4273,61.12,81,100,4.21,ZM,1620171792
218,Abu Dhabi,24.4667,54.3667,84.2,58,0,8.05,AE,1620171734
219,Kahului,20.8947,-156.47,84.2,54,40,20.71,US,1620170976
220,kimparana,12.8347,-4.9244,91.24,33,49,10.45,ML,1620171792
221,Mahébourg,-20.4081,57.7,75.2,100,40,3.44,MU,1620171300
222,Raudeberg,61.9875,5.1352,42.01,84,100,15.21,NO,1620171793
223,Province of Mantua,45.1667,10.7833,54.0,71,68,4.61,IT,1620171793
224,San Cristobal,7.7669,-72.225,82.4,69,40,4.61,VE,1620171197
225,Te Anau,-45.4167,167.7167,54.68,65,26,5.91,NZ,1620171793
226,Berlevåg,70.8578,29.0864,33.8,64,75,10.36,NO,1620171377
227,Saýat,38.7839,63.8803,66.2,34,0,6.91,TM,1620171794
228,Manicoré,-5.8092,-61.3003,78.8,94,0,2.3,BR,1620171794
229,Çubuk,40.2386,33.0322,53.01,87,40,10.36,TR,1620171794
230,Birao,10.2849,22.7882,79.52,55,60,4.23,CF,1620171795
231,Boden,65.8252,21.6886,33.8,60,22,5.75,SE,1620171667
232,Ballina,-28.8667,153.5667,62.6,82,58,10.36,AU,1620171301
233,São Filipe,14.8961,-24.4956,71.67,73,39,9.42,CV,1620171089
234,Arrondissement d'Arcachon,44.5875,-1.0519,57.2,94,90,13.8,FR,1620171795
235,Hobyo,5.3505,48.5268,84.16,75,75,10.76,SO,1620171795
236,Qarqīn,37.4185,66.0436,72.7,27,100,4.92,AF,1620171665
237,Bonthe,7.5264,-12.505,80.28,82,99,6.08,SL,1620171288
238,Lianran,24.9227,102.485,57.2,88,75,6.71,CN,1620171796
239,Tiksi,71.6872,128.8694,29.34,92,100,8.95,RU,1620171273
240,Santa Cruz de la Sierra,-17.8,-63.1667,80.6,69,88,5.75,BO,1620171796
241,Medgyesegyháza,46.5,21.0333,50.0,62,0,8.05,HU,1620171796
242,Sagua la Grande,22.8067,-80.0756,78.8,89,75,2.3,CU,1620171797
243,Anito,12.4497,125.2886,81.0,88,61,11.81,PH,1620171797
244,Harper,4.375,-7.7169,79.21,85,100,8.05,LR,1620171797
245,Saint-Prosper,46.2117,-70.4811,55.4,38,97,3.44,CA,1620171798
246,Taft,31.7471,54.2088,59.54,52,28,2.28,IR,1620171798
247,Lata,40.1629,-8.3327,57.0,87,14,5.99,PT,1620171369
248,Thompson,55.7435,-97.8558,37.4,56,75,9.22,CA,1620171020
249,Vaitape,-16.5167,-151.75,82.71,75,48,14.14,PF,1620171366
250,Kumul,42.8,93.45,59.16,12,2,5.39,CN,1620171798
251,Mormugao,15.4,73.8,80.6,94,20,3.44,IN,1620171799
252,Touho,-20.7833,165.2333,75.16,80,61,6.13,NC,1620171799
253,Dvorichna,49.8496,37.6857,40.32,84,3,7.14,UA,1620171799
254,Oodweyne,9.4092,45.064,73.15,73,100,4.32,SO,1620171800
255,Celestún,20.8667,-90.4,85.44,70,2,13.87,MX,1620171800
256,Yarmouth,41.7057,-70.2286,48.99,93,90,11.5,US,1620171608
257,Iqaluit,63.7506,-68.5145,32.0,86,20,3.44,CA,1620171365
258,Poum,-20.2333,164.0167,76.91,73,1,2.44,NC,1620171344
259,Touros,-5.1989,-35.4608,75.2,94,0,4.61,BR,1620171800
260,Itaituba,-4.2761,-55.9836,80.6,89,75,4.61,BR,1620171801
261,Qaqortoq,60.7167,-46.0333,48.2,23,75,36.82,GL,1620171802
262,Chumikan,54.7183,135.315,31.42,79,100,16.93,RU,1620171802
263,Bosaso,11.2842,49.1816,85.53,65,100,3.76,SO,1620171635
264,Nuuk,64.1835,-51.7216,39.2,70,1,9.22,GL,1620171803
265,Port Keats,-14.25,129.55,80.76,42,8,9.06,AU,1620171803
266,Cubarral,3.7935,-73.8406,72.1,93,75,2.44,CO,1620171803
267,Norman Wells,65.282,-126.8329,42.8,56,75,9.22,CA,1620171339
268,Barcelos,41.5388,-8.6151,55.0,87,0,9.22,PT,1620171804
269,Laas,46.6166,10.7002,52.0,81,75,6.91,IT,1620171804
270,Tual,-5.6667,132.75,84.0,75,100,20.49,ID,1620171325
271,La Ronge,55.1001,-105.2842,42.8,36,4,8.05,CA,1620171296
272,Kailua,21.4022,-157.7394,84.2,73,20,11.5,US,1620171337
273,San Patricio,28.017,-97.5169,86.0,62,90,13.8,US,1620171299
274,Gūdūr,14.1333,79.85,80.33,77,6,7.61,IN,1620171805
275,Malinovoye Ozero,51.6753,79.7825,45.3,52,29,5.61,RU,1620171805
276,Meulaboh,4.1363,96.1285,76.84,90,92,5.48,ID,1620171315
277,Lebu,-37.6167,-73.65,53.8,78,16,2.46,CL,1620171307
278,Juba,4.8517,31.5825,73.56,78,91,3.96,SS,1620171805
279,Wanganui,-39.9333,175.05,63.0,68,92,20.0,NZ,1620171806
280,Monrovia,6.3005,-10.7969,78.8,94,75,6.87,LR,1620171806
281,Buala,-8.145,159.5921,84.42,70,83,4.27,SB,1620171393
282,Naze,28.3667,129.4833,73.4,94,75,14.97,JP,1620171310
283,Olafsvik,64.8945,-23.7142,39.22,58,14,7.18,IS,1620171806
284,Paris,48.8534,2.3488,48.2,75,40,6.91,FR,1620171187
285,Dzaoudzi,-12.7887,45.2699,80.6,78,75,21.85,YT,1620171383
286,Newport,51.5877,-2.9984,39.0,88,59,10.94,GB,1620171276
287,Broken Hill,-31.95,141.4333,50.0,66,24,13.8,AU,1620171807
288,Alugan,12.2188,125.4808,81.54,86,73,13.49,PH,1620171338
289,Ciudad Bolivar,8.1222,-63.5497,77.5,83,100,4.85,VE,1620171807
290,Santa Cruz de Tenerife,28.4682,-16.2546,63.0,71,90,19.57,ES,1620171515
291,Comodoro Rivadavia,-45.8667,-67.5,46.4,61,0,8.05,AR,1620171808
292,Avera,33.194,-82.5271,68.0,83,90,6.91,US,1620171337
293,Canto do Buriti,-8.11,-42.9444,77.52,51,69,3.11,BR,1620171808
294,Tall Kayf,37.0833,41.0667,68.31,51,89,3.33,TR,1620171808
295,Villa del Rosario,7.8339,-72.4742,82.4,69,40,4.61,CO,1620171809
296,Kamenka,51.3223,42.7678,41.0,75,3,8.79,RU,1620171809
297,Kragujevac,44.0167,20.9167,54.0,94,0,2.3,RS,1620171809
298,Amboasary,-25.0333,46.3833,66.2,88,20,8.41,MG,1620171810
299,Flinders,-34.5833,150.8552,62.01,95,100,1.01,AU,1620171360
300,San Andrés,12.5847,-81.7006,84.2,74,20,9.22,CO,1620171810
301,Noumea,-22.2763,166.4572,78.8,73,0,4.61,NC,1620171812
302,Xining,36.6167,101.7667,39.74,68,44,3.71,CN,1620171812
303,Tautira,-17.7333,-149.15,86.0,70,20,10.36,PF,1620171380
304,Yeppoon,-23.1333,150.7333,73.4,78,20,1.14,AU,1620171812
305,Lodja,-3.4833,23.4333,69.58,93,94,1.07,CD,1620171812
306,Tarabuco,-19.1667,-64.9167,49.86,82,22,5.75,BO,1620171813
307,Yunhe,34.0833,119.7167,63.19,35,81,2.26,CN,1620171813
308,Sydney,-33.8679,151.2073,61.0,100,75,14.97,AU,1620171522
309,Siyabuswa,-25.1132,29.0445,57.2,48,0,3.58,ZA,1620171814
310,Ulladulla,-35.35,150.4667,62.6,100,90,10.36,AU,1620171815
311,Pathein,16.7833,94.7333,81.52,74,1,5.03,MM,1620171815
312,Uthai Thani,15.3833,99.55,82.99,95,97,1.66,TH,1620171815
313,Tabou,4.423,-7.3528,78.6,87,100,7.63,CI,1620171815
314,Hrob,50.6592,13.7268,46.99,80,92,17.0,CZ,1620171816
315,San Miguel de Cozumel,20.5083,-86.9458,84.2,74,40,17.27,MX,1620171112
316,Mayo,38.8876,-76.5119,69.8,94,90,5.75,US,1620171816
317,Kununurra,-15.7667,128.7333,78.8,61,8,3.44,AU,1620171816
318,Valleyview,55.0667,-117.2859,57.2,38,93,9.22,CA,1620171817
319,Prince Rupert,54.3161,-130.3201,48.2,81,90,5.75,CA,1620171383
320,Esim,4.8699,-2.2405,79.93,79,93,7.65,GH,1620171817
321,Hoquiam,46.9809,-123.8893,62.01,62,1,13.8,US,1620171817
322,Makakilo City,21.3469,-158.0858,84.2,69,90,13.8,US,1620171818
323,Narsaq,60.9167,-46.05,48.2,23,75,36.82,GL,1620171333
324,Price,39.5994,-110.8107,66.2,19,75,14.97,US,1620171341
325,Jatai,-17.8814,-51.7144,67.26,44,8,3.24,BR,1620171819
326,Saurimo,-9.6608,20.3916,68.95,78,99,3.69,AO,1620171819
327,Kurdzhinovo,43.9884,40.9552,44.4,97,100,2.82,RU,1620171820
328,Mezen',65.8522,44.24,30.04,80,100,9.66,RU,1620171820
329,Ferme-Neuve,46.7001,-75.4493,48.2,71,100,5.75,CA,1620171820
330,Shache,38.4167,77.2406,59.95,20,92,5.23,CN,1620171314
331,Deputatsky,69.3,139.9,28.08,95,98,3.13,RU,1620171072
332,Sokolo,14.7328,-6.1219,95.61,28,100,6.91,ML,1620171820
333,Itoman,26.1247,127.6694,77.0,88,75,16.11,JP,1620171821
334,Covington,39.0837,-84.5086,63.0,94,90,11.5,US,1620171821
335,Westport,41.1415,-73.3579,59.0,82,90,9.22,US,1620171821
336,Pierre,44.3683,-100.351,64.0,29,1,6.91,US,1620171399
337,Miyang,24.4042,103.4428,63.91,88,71,2.06,CN,1620171822
338,Xai-Xai,-25.0519,33.6442,63.77,74,0,2.24,MZ,1620171348
339,Yulara,-25.2406,130.9889,60.8,59,83,11.5,AU,1620171320
340,Wilmington,34.2257,-77.9447,80.6,69,1,11.5,US,1620171822
341,Gornopravdinsk,60.05,69.9,46.6,96,50,5.26,RU,1620171822
342,Graaff-Reinet,-32.2522,24.5308,59.0,64,85,1.99,ZA,1620171823
343,Zapolyarnyy,69.4154,30.8136,32.0,80,75,10.36,RU,1620171823
344,Port Lincoln,-34.7333,135.8667,59.83,61,100,13.27,AU,1620171185
345,Evensk,61.95,159.2333,25.75,65,6,8.77,RU,1620171348
346,Pascagoula,30.3658,-88.5561,80.6,83,90,8.05,US,1620171823
347,Atambua,-9.1061,124.8925,78.12,73,80,5.32,ID,1620171824
348,Gazojak,41.1875,61.4036,69.28,33,97,4.43,TM,1620171824
349,Srednekolymsk,67.45,153.6833,29.73,89,100,3.38,RU,1620171079
350,Phan Thiet,10.9333,108.1,81.5,74,100,9.08,VN,1620171824
351,Lake Wales,27.9014,-81.5859,90.0,58,75,10.36,US,1620171824
352,Shimanovsk,52.0,127.7,45.84,82,99,10.85,RU,1620171825
353,Cap Malheureux,-19.9842,57.6142,75.99,89,3,3.0,MU,1620171378
354,Desaguadero,-16.5656,-69.0417,46.51,53,80,5.57,PE,1620171825
355,Almaznyy,48.0448,40.045,41.0,65,0,4.47,RU,1620171826
356,Ribeira Brava,32.65,-17.0667,57.99,79,2,8.99,PT,1620171826
